Product code;Language;Vendor;Product id;my_first_cscart_module_setting;Category;Price
"T0097H98EI";"ru";"Simtech";"97";"215";"Movies & TV///Blu-ray Discs";"14.99"
"E011296HKW";"ru";"Simtech";"112";"216";"Movies & TV///Movies (DVD)";"8.99"
"P011376198";"ru";"Simtech";"113";"217";"Electronics///Cell Phones///Samsung";"449.99"
"V0100ZBORU";"ru";"Simtech";"100";"218";"Movies & TV///Blu-ray Discs";"22.70"
"E01010TOGW";"ru";"Simtech";"101";"219";"Electronics///Cell Phones///Nokia";"188.88"
"E01027HIDS";"ru";"Simtech";"102";"220";"Apparel///Watches & Jewelry";"295.00"
"S0103G26P3";"ru";"Simtech";"103";"221";"Movies & TV///Blu-ray Discs";"23.99"
"N0104CXAWS";"ru";"Simtech";"104";"222";"Movies & TV///Blu-ray Discs";"29.95"
"M01052HXOG";"ru";"Simtech";"105";"223";"Electronics///Cell Phones///Nokia";"169.99"
"C0106D3GWB";"ru";"Simtech";"106";"224";"Electronics///Cell Phones///Nokia";"179.99"
"F01072HXUI";"ru";"Simtech";"107";"225";"Apparel///Watches & Jewelry";"465.00"
"I0108TD8BL";"ru";"Simtech";"108";"226";"Movies & TV///Blu-ray Discs";"12.99"
"C01099FRFC";"ru";"Simtech";"109";"227";"Apparel///Watches & Jewelry";"140.00"
"E01105O46P";"ru";"Simtech";"110";"228";"Movies & TV///Movies (DVD)";"15.99"
"F0111O12WW";"ru";"Simtech";"111";"229";"Movies & TV///Movies (DVD)";"6.99"
"U0114N9X4E";"ru";"Simtech";"114";"230";"Movies & TV///Movies (DVD)";"14.99"
"N0115R3FDX";"ru";"Simtech";"115";"231";"Sports & Outdoors///Bikes///Mountain Bikes";"4595.00"
"P01160R6WH";"ru";"Simtech";"116";"232";"Movies & TV///Movies (DVD)";"6.99"
"C0117E8CC7";"ru";"Simtech";"117";"233";"Electronics///Cell Phones///Samsung";"729.99"
"H0118GRDLH";"ru";"Simtech";"118";"234";"Movies & TV///TV Shows (DVD)";"30.99"
"R0119703TC";"ru";"Simtech";"119";"235";"Movies & TV///TV Shows (DVD)";"17.99"
"B0120TBX2K";"ru";"Simtech";"120";"236";"Electronics///Cell Phones///Samsung";"199.99"
"L012149RZH";"ru";"Simtech";"121";"237";"Movies & TV///TV Shows (DVD)";"17.99"
"J01223DYAH";"ru";"Simtech";"122";"238";"Sports & Outdoors///Bikes///Mountain Bikes";"5695.00"
"C0123RSXUU";"ru";"Simtech";"123";"239";"Movies & TV///TV Shows (DVD)";"17.99"
"D01245K7FF";"ru";"Simtech";"124";"240";"Sports & Outdoors///Bikes///Mountain Bikes";"4595.00"
"Y01252CY9O";"ru";"Simtech";"125";"241";"Electronics///Cell Phones///Samsung";"149.99"
"F01262AH0T";"ru";"Simtech";"126";"242";"Office Supplies///Calculators";"129.99"
"A0127P1V0T";"ru";"Simtech";"127";"243";"Sports & Outdoors///Bikes///Road Bikes";"4779.00"
"K0128RATX3";"ru";"Simtech";"128";"244";"Office Supplies///Calculators";"17.99"
"O0129GKRU9";"ru";"Simtech";"129";"245";"Sports & Outdoors///Bikes///Road Bikes";"1799.00"
"T0130501N7";"ru";"Simtech";"130";"246";"Office Supplies///Calculators";"49.95"
"I0131TAKCI";"ru";"Simtech";"131";"247";"Sports & Outdoors///Bikes///Road Bikes";"1249.00"
"S0132PANHE";"ru";"Simtech";"132";"248";"Electronics///MP3 Players///Android";"269.99"
"I0133JJ7IC";"ru";"Simtech";"133";"249";"Electronics///MP3 Players///MP3 Players";"229.99"
"Y0134XZKTS";"ru";"Simtech";"134";"250";"Electronics///MP3 Players///Android";"89.99"
"B0135ZGE8V";"ru";"Simtech";"135";"251";"Electronics///MP3 Players///Android";"0.00"
"A0136VBI1A";"ru";"Simtech";"136";"252";"Video Games///PlayStation Vita";"0.00"
"H0137J8TMV";"ru";"Simtech";"137";"253";"Video Games///PlayStation Vita";"0.00"
"G0138IU32J";"ru";"Simtech";"138";"254";"Video Games///PlayStation Vita";"0.00"
"Z0139588PS";"ru";"Simtech";"139";"255";"Video Games///PlayStation Vita";"0.00"
"C0140WY5XY";"ru";"Simtech";"140";"256";"Electronics///MP3 Players///MP3 Speaker Systems";"99.95"
"Y01413SJOB";"ru";"Simtech";"141";"257";"Electronics///MP3 Players///MP3 Speaker Systems";"99.95"
"H0142DQBME";"ru";"Simtech";"142";"258";"Electronics///MP3 Players///MP3 Speaker Systems";"399.95"
"Z01433JOK5";"ru";"Simtech";"143";"259";"Electronics///MP3 Players///MP3 Speaker Systems";"79.95"
"M0144TJFHE";"ru";"Simtech";"144";"260";"Electronics///MP3 Players///MP3 Speaker Systems";"99.95"
"Y0145WPLX9";"ru";"ACME Corp";"145";"261";"Electronics///MP3 Players///MP3 Players";"79.99"
"A0146P0NT5";"ru";"Simtech";"146";"262";"Electronics///MP3 Players///MP3 Players";"44.99"
"Q014797842";"ru";"Simtech";"147";"263";"Electronics///MP3 Players///MP3 Players";"44.99"
"H0148VPS1T";"ru";"Simtech";"148";"264";"Electronics///MP3 Players///MP3 Players";"130.00"
"E0149D04B9";"ru";"Simtech";"149";"265";"Electronics///MP3 Players///MP3 Players";"53.99"
"K01502P8VF";"ru";"Simtech";"150";"266";"Sports & Outdoors///Bikes///Comfort & Cruisers";"120.00"
"C0151LG8CS";"ru";"Simtech";"151";"267";"Sports & Outdoors///Bikes///Comfort & Cruisers";"500.00"
"D0152X65HT";"ru";"Simtech";"152";"268";"Sports & Outdoors///Bikes///Comfort & Cruisers";"700.00"
"Q0153SHXQ0";"ru";"Simtech";"153";"269";"Electronics///MP3 Players///Headphones";"49.99"
"T0154F3MKH";"ru";"Simtech";"154";"270";"Electronics///MP3 Players///Headphones";"399.99"
"N01552LVJT";"ru";"Simtech";"155";"271";"Electronics///MP3 Players///Headphones";"79.99"
"F01564IPN2";"ru";"Simtech";"156";"272";"Electronics///MP3 Players///Headphones";"299.00"
"G0157AX10M";"ru";"Simtech";"157";"273";"Electronics///MP3 Players///Headphones";"499.00"
"N0158NC3UY";"ru";"Simtech";"158";"274";"Office Supplies///Safes";"4750.00"
"L0159TYZDW";"ru";"Simtech";"159";"275";"Office Supplies///Safes";"11375.00"
"L0160MZ4DS";"ru";"Simtech";"160";"276";"Sports & Outdoors///Bikes///Comfort & Cruisers";"200.00"
"N0161QCS4X";"ru";"Simtech";"161";"277";"Electronics///Cameras & Photo///Digital Cameras";"279.99"
"A0162LEU0L";"ru";"Simtech";"162";"278";"Office Supplies///Safes";"32750.00"
"W0163ME90H";"ru";"Simtech";"163";"279";"Electronics///Cameras & Photo///Digital Cameras";"899.99"
"O01648JXQC";"ru";"Simtech";"164";"280";"Electronics///Cameras & Photo///Digital Cameras";"249.99"
"N0165BQMZZ";"ru";"Simtech";"165";"281";"Electronics///Cameras & Photo///Digital Cameras";"599.95"
"A01662K0D9";"ru";"Simtech";"166";"282";"Electronics///Cameras & Photo///Digital Cameras";"749.95"
"H0167T7K2E";"ru";"Simtech";"167";"283";"Electronics///Cameras & Photo///DSLR Cameras";"549.95"
"C016809TC9";"ru";"Simtech";"168";"284";"Electronics///Cameras & Photo///DSLR Cameras";"1.00"
"A016998ZXV";"ru";"Simtech";"169";"285";"Electronics///Cameras & Photo///DSLR Cameras";"749.95"
"J0170YXQXC";"ru";"Simtech";"170";"286";"Sports & Outdoors///Golf///Golf Clubs";"145.99"
"Q0171LINQ9";"ru";"Simtech";"171";"287";"Office Supplies///Desk Accessories";"499.00"
"Y0172YCAWT";"ru";"Simtech";"172";"288";"Electronics///Cameras & Photo///Camcorders";"299.99"
"N0173TLFE1";"ru";"Simtech";"173";"289";"Electronics///Cameras & Photo///Camcorders";"349.99"
"K0174R9CUN";"ru";"Simtech";"174";"290";"Office Supplies///Desk Accessories";"100.75"
"S0175KUFJJ";"ru";"Simtech";"175";"291";"Electronics///Cameras & Photo///Camcorders";"179.99"
"Y01761IUK5";"ru";"Simtech";"176";"292";"Office Supplies///Desk Accessories";"648.95"
"J0177S9SI3";"ru";"Simtech";"177";"293";"Sports & Outdoors///Golf///Golf Clubs";"400.00"
"G0178014M3";"ru";"Simtech";"178";"294";"Office Supplies///Desk Accessories";"6.83"
"B0179UHL46";"ru";"Simtech";"179";"295";"Sports & Outdoors///Golf///Golf Clubs";"299.97"
"Q01802L8VS";"ru";"Simtech";"180";"296";"Electronics///Cameras & Photo///Lenses";"199.99"
"A0181ZSJSS";"ru";"Simtech";"181";"297";"Sports & Outdoors///Golf///Golf Clubs";"899.99"
"N0182YV5QV";"ru";"Simtech";"182";"298";"Office Supplies///Desk Accessories";"6.80"
"E0183D500N";"ru";"Simtech";"183";"299";"Electronics///Cameras & Photo///Lenses";"249.99"
"D0184CU1VL";"ru";"Simtech";"184";"300";"Electronics///Cameras & Photo///Lenses";"299.99"
"B0185I7U24";"ru";"Simtech";"185";"301";"Sports & Outdoors///Golf///Golf Bags & Carts";"139.99"
"N01868E9SB";"ru";"Simtech";"186";"302";"Sports & Outdoors///Golf///Golf Bags & Carts";"299.99"
"D0187LXFZO";"ru";"Simtech";"187";"303";"Sports & Outdoors///Golf///Golf Bags & Carts";"299.99"
"M0188MVCYL";"ru";"Simtech";"188";"304";"Sports & Outdoors///Golf///Golf Balls";"10.00"
"O0189UKMNW";"ru";"Simtech";"189";"305";"Electronics///Cameras & Photo///Lenses";"1.00"
"O019015C2L";"ru";"Simtech";"190";"306";"Electronics///Cameras & Photo///Lenses";"899.95"
"Q0191PBM44";"ru";"Simtech";"191";"307";"Music///Jazz";"11.98"
"E01923M6DA";"ru";"Simtech";"192";"308";"Music///Rock";"15.00"
"Y0205HGGEI";"ru";"Simtech";"205";"309";"Computers///Networking";"149.99"
"P01947A0SW";"ru";"Simtech";"194";"310";"Music///Rock";"10.60"
"I0195ZFDB8";"ru";"Simtech";"195";"311";"Music///Rock";"29.99"
"I0196BBF6I";"ru";"Simtech";"196";"312";"Music///Rock";"17.00"
"A019737E4S";"ru";"Simtech";"197";"313";"Music///Blues";"14.98"
"K01984N7PI";"ru";"Simtech";"198";"314";"Music///Blues";"17.99"
"Y0199F6AC6";"ru";"Simtech";"199";"315";"Music///Blues";"29.98"
"X02002U30A";"ru";"Simtech";"200";"316";"Music///Classical";"26.92"
"V02011EWI8";"ru";"Simtech";"201";"317";"Music///Classical";"12.67"
"T0202OTGXT";"ru";"Simtech";"202";"318";"Music///Classical";"34.68"
"R02034W1ZL";"ru";"Simtech";"203";"319";"Music///Classical";"34.68"
"B0204ZOC1I";"ru";"Simtech";"204";"320";"Music///Rock";"14.99"
"Q0206MCK7B";"ru";"Simtech";"206";"321";"Computers///Networking";"179.99"
"W0207TLU5R";"ru";"Simtech";"207";"322";"Computers///Networking";"42.00"
"F0208V084C";"ru";"Simtech";"208";"323";"Computers///Networking";"82.94"
"G0209Y9N72";"ru";"Simtech";"209";"324";"Computers///Printers & Scanners";"109.99"
"D0210M5AN1";"ru";"Simtech";"210";"325";"Computers///Printers & Scanners";"89.99"
"H021184FO0";"ru";"Simtech";"211";"326";"Computers///Printers & Scanners";"299.99"
"P0212CTOEA";"ru";"Simtech";"212";"327";"Computers///Printers & Scanners";"129.95"
"R0213E2U6B";"ru";"Simtech";"213";"328";"Computers///Processors";"295.00"
"K02149B2ZX";"ru";"Simtech";"214";"329";"Computers///Desktops";"972.00"
"O02154E04H";"ru";"Simtech";"215";"330";"Computers///Processors";"1095.00"
"L0227FHI2Y";"ru";"Simtech";"227";"331";"Computers///Monitors";"699.00"
"H0217E3OE9";"ru";"Simtech";"217";"332";"Computers///Desktops";"610.99"
"B0218UO9WS";"ru";"Simtech";"218";"333";"Computers///Desktops";"459.99"
"M0219A3GX3";"ru";"Simtech";"219";"334";"Computers///Laptops";"529.99"
"P0220KHOS3";"ru";"Simtech";"220";"335";"Computers///Laptops";"1099.99"
"X0221UHBTA";"ru";"Simtech";"221";"336";"Computers///Laptops";"2049.00"
"P0222KUH4T";"ru";"Simtech";"222";"337";"Computers///Laptops";"529.99"
"O0223AQI3W";"ru";"Simtech";"223";"338";"Computers///Tablets";"499.99"
"Y0224Y3QQU";"ru";"Simtech";"224";"339";"Computers///Tablets";"479.99"
"E0225PPZPL";"ru";"Simtech";"225";"340";"Computers///Tablets";"199.99"
"P02266IOPQ";"ru";"Simtech";"226";"341";"Computers///Processors";"269.99"
"I0228OF40N";"ru";"Simtech";"228";"342";"Computers///Monitors";"349.99"
"V0229W5J8F";"ru";"Simtech";"229";"343";"Computers///Monitors";"299.99"
"B0230S7Q0V";"ru";"Simtech";"230";"344";"Sports & Outdoors///Camping///Backpacks";"125.00"
"S0231YYSMK";"ru";"Simtech";"231";"345";"Sports & Outdoors///Camping///Backpacks";"99.00"
"S0232MRZ1Y";"ru";"Simtech";"232";"346";"Sports & Outdoors///Camping///Backpacks";"79.95"
"H023315I7E";"ru";"Simtech";"233";"347";"Sports & Outdoors///Camping///Sleeping Bags";"47.99"
"R0234XOWI6";"ru";"Simtech";"234";"348";"Sports & Outdoors///Camping///Sleeping Bags";"59.99"
"N02351Q6BY";"ru";"Simtech";"235";"349";"Sports & Outdoors///Camping///Sleeping Bags";"79.99"
"A0236BQ31M";"ru";"Simtech";"236";"350";"Sports & Outdoors///Camping///Tents";"299.99"
"B0237HI9M0";"ru";"Simtech";"237";"351";"Sports & Outdoors///Camping///Tents";"299.99"
"Q0238LW6GY";"ru";"Simtech";"238";"352";"Electronics///Cell Phones///Apple iPhone";"499.99"
"L0239KVQ9F";"ru";"Simtech";"239";"353";"Electronics///Cell Phones///Apple iPhone";"509.99"
"E0240Y27BE";"ru";"Simtech";"240";"354";"Computers///Tablets";"499.00"
"I0241GCXF9";"ru";"Simtech";"241";"355";"Computers///Tablets";"499.00"
"G0242JXP9R";"ru";"Simtech";"242";"356";"Electronics///MP3 Players///iPods";"249.00"
"U02431526C";"ru";"Simtech";"243";"357";"Electronics///MP3 Players///iPods";"249.00"
"B00F3IUN27";"ru";"Simtech";"244";"358";"Computers///Desktops";"729.99"
"B00F3IUN24";"ru";"Simtech";"245";"359";"Electronics///Cell Phones///Apple iPhone";"699.00"
"B00F3F0GLU";"ru";"Simtech";"246";"360";"Electronics///Cameras & Photo///Camcorders";"399.99"
"B00F3F0GTA";"ru";"Simtech";"247";"361";"Computers///Tablets";"329.49"
"L2571ODER9";"ru";"Simtech";"248";"362";"Video Games///X-Box One";"372.27"
"TSHIRT1";"ru";"Simtech";"278";"363";"Apparel///Men's Clothing";"75.00"
"TSHIRT2";"ru";"Simtech";"279";"363";"Apparel///Men's Clothing";"75.00"
"TSHIRT3";"ru";"Simtech";"280";"365";"Apparel///Men's Clothing";"50.00"
"TSHIRT4";"ru";"Simtech";"281";"365";"Apparel///Men's Clothing";"75.00"
"TSHIRT5";"ru";"Simtech";"282";"367";"Apparel///Men's Clothing";"75.00"
"TSHIRT6";"ru";"Simtech";"283";"367";"Apparel///Men's Clothing";"75.00"
"TSHIRT7";"ru";"Simtech";"284";"367";"Apparel///Men's Clothing";"75.00"
